DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,DE,2020,264499,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,DE,2021,258987,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,DK,2013,2984,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,DK,2014,2881,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,DK,2015,2853,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,DK,2016,2882,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,DK,2017,2789,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,DK,2018,2964,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,DK,2019,2808,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,DK,2020,2527,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,DK,2021,2402,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EE,2013,1382,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EE,2014,1436,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EE,2015,1391,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EE,2016,1467,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EE,2017,1405,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EE,2018,1474,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EE,2019,1413,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EE,2020,1409,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EE,2021,1538,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EL,2013,12109,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EL,2014,11690,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EL,2015,11440,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EL,2016,11318,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EL,2017,10848,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EL,2018,10737,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EL,2019,10712,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EL,2020,9083,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,EL,2021,10454,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,ES,2013,89519,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,ES,2014,91570,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,ES,2015,97756,
